"","Plot_ID","northing","easting","south","west"
"1","SJER1068",4111567.818,255852.376,4111547.818,255832.376
"2","SJER112",4111298.971,257406.967,4111278.971,257386.967
"3","SJER116",4110819.876,256838.76,4110799.876,256818.76
"4","SJER117",4108752.026,256176.947,4108732.026,256156.947
"5","SJER120",4110476.079,255968.372,4110456.079,255948.372
"6","SJER128",4111388.57,257078.867,4111368.57,257058.867
"7","SJER192",4111071.087,256683.434,4111051.087,256663.434
"8","SJER272",4112167.778,256717.467,4112147.778,256697.467
"9","SJER2796",4111533.879,256034.39,4111513.879,256014.39
"10","SJER3239",4109856.983,258497.102,4109836.983,258477.102
"11","SJER36",4110161.674,258277.829,4110141.674,258257.829
"12","SJER361",4107527.074,256961.794,4107507.074,256941.794
"13","SJER37",4107578.841,256148.197,4107558.841,256128.197
"14","SJER4",4109767.289,257228.336,4109747.289,257208.336
"15","SJER8",4110249.265,254738.618,4110229.265,254718.618
"16","SJER824",4110047.586,256185.584,4110027.586,256165.584
"17","SJER916",4109616.679,257460.486,4109596.679,257440.486
"18","SJER952",4110759.039,255871.194,4110739.039,255851.194
